id,type,name
1,Floor,LargeBox
2,Floor,MidBox
3,Floor,SmallBox
4,Base,BaseA
5,Wall,Painting
6,Base,BaseB
7,Base,BaseC
8,Base,BaseD
9,Wall,Door
10,Wall,WallShelf
11,Wall,Window1
12,Wall,Window2
13,Wall,Watch
14,Wall,Outlet
15,Wall,Switch
16,Floor,Bed
17,Floor,Table
18,Floor,Chair
19,Floor,Bookshelf
20,Floor,Refrigerator
21,Floor,Stove
22,Floor,Sink
23,Floor,CookingTable
24,Floor,SideTable
25,Floor,MicrowaveOven
26,Floor,Cushion
27,Floor,Yogibo
28,Floor,StuffedToy
29,Floor,HangerTree
30,Floor,Houseplants
31,Floor,Lamp
32,Floor,TrashCan
33,Floor,Rug
34,Floor,Rug2
35,Floor,Mat
36,Floor,CardboardC
37,Floor,CardboardO
38,Floor,CardboardW
39,Floor,Apple
40,Floor,AppleCore
41,Floor,BananaPeel
42,Floor,Book
43,Floor,Cactus
44,Floor,Can
45,Floor,Cup
46,Floor,Cup2
47,Floor,Rat
48,Floor,Tissue
49,Floor,Vase
50,Floor,Yarn
