id,type,name
1,Body,Body001
2,Body,Body002
3,Body,Body003
4,Body,Body004
5,Body,Body005
6,Body,Body006
7,Body,Body007
8,Body,Body008
9,Body,Body009
10,Body,Body010
11,Body,Body011
12,Body,Body012
13,Body,Body013
14,Body,Body014
15,Body,Body015
16,Body,Body016
17,Body,Body017
18,Body,Body018
19,Body,Body019
20,Body,Body020
21,Body,Body021
22,Body,Body022
23,Body,Body023
24,Body,Body024
25,Body,Body025
26,Cloth,Cloth000
27,Cloth,Cloth005
28,Face,Face001
29,HandAccessory,HandAccessory000
30,HandAccessory,HandAccessory005
31,HeadAccessory,HeadAccessory000
32,HeadAccessory,HeadAccessory005
33,LegAccessory,LegAccessory000
34,LegAccessory,LegAccessory005
35,Tail,Tail000
36,Tail,Tail001
37,Tail,Tail002
38,Tail,Tail003
39,Tail,Tail004
41,Tail,Tail006
42,Tail,Tail007
43,Tail,Tail008
45,HeadAccessory,HeadAccessoryDracula
46,HeadAccessory,HeadAccessoryBunny
47,HeadAccessory,HeadAccessoryMother
48,HeadAccessory,HeadAccessoryBurger
49,HeadAccessory,HeadAccessoryOmeletRice
50,HeadAccessory,HeadAccessoryPartyBlue
51,HeadAccessory,HeadAccessoryPartyPink
52,HeadAccessory,HeadAccessoryHatBlue
53,HeadAccessory,HeadAccessoryHatPink
54,HeadAccessory,HeadAccessoryRibbonBlue
55,HeadAccessory,HeadAccessoryRibbonPink
56,HeadAccessory,HeadAccessoryMugiwaraBlue
57,HeadAccessory,HeadAccessoryMugiwaraPink
59,HandAccessory,HandAccessoryDracula
60,HandAccessory,HandAccessoryBunny
61,HandAccessory,HandAccessoryMother
62,HandAccessory,HandAccessoryOmeletRice
63,HandAccessory,HandAccessoryPartyBlue
64,HandAccessory,HandAccessoryPartyPink
65,Face,Face002
66,Face,Face003
67,Face,Face004
68,Face,Face005
69,Face,Face006
70,Face,Face007
71,Face,Face008
73,LegAccessory,LegAccessoryDracula
74,LegAccessory,LegAccessoryBunny
75,LegAccessory,LegAccessoryMother
76,LegAccessory,LegAccessoryBurger
77,LegAccessory,LegAccessoryOmeletRice
79,Cloth,ClothDracula
80,Cloth,ClothOmeletRice
81,Cloth,ClothBurger
82,Cloth,ClothTshirtBlue
83,Cloth,ClothTshirtPink
84,Cloth,ClothBunny
85,Cloth,ClothMother
86,Cloth,ClothPartyBlue
87,Cloth,ClothPartyPink
88,Cloth,ClothBellBlue
89,Cloth,ClothBellPink
